Kalevan Karhut ry;9999633;Kalevan kirkko;Liisanpuisto 1;33540;Tampere;;61.499195;23.793597
Kalevan Suuntatytöt;9999634;Kalevan kirkko, seurakuntatilat;Liisanpuisto 1;33540;Tampere;;61.498961;23.793912
Kalevan Suuntatytöt;9999634;Kalevan kirkko, seurakuntatilat;Liisanpuisto 1;33540;Tampere;;61.498961;23.793912
Kanavan Vartijat ry;9999637;Lempäälän SRK-talo;Kirkkopolku 1;37500;Lempäälä;;61.313231;23.75055
Kanavan Vartijat ry;9999637;Lempäälän SRK-talo;Kirkkopolku 1;37500;Lempäälä;;61.313231;23.75055
Kankaanpään Korpiveikot ry;9999177;Partiokolo;Asemakatu 11;38700;Kankaanpää;;61.80258;22.394391
Karkun Samoojat ry;9999638;Karkun srk-talo;Passinmäentie 14;38100;Sastamala;;61.447378;23.045561
Karkun Samoojat ry;9999638;Karkun srk-talo;Passinmäentie 14;38100;Sastamala;;61.447378;23.045561
Karkun Samoojat ry;9999638;Salokunnan kirkko;Kärppäläntie 226;38140;Sastamala;;61.374995;23.110453
Karkun Samoojat ry;9999638;Salokunnan kirkko;Kärppäläntie 226;38140;Sastamala;;61.374995;23.110453
Karvian Majavapartio ry;9999179;;Kirkkoväärtintie 1;39930;Karvia;;62.136133;22.559551
Kaskenkaatajat ry;9999639;"Kolot ""Hanski"" ja ""Parta""";Verhonkatu 25-27 C;13130;Hämeenlinna;;60.991481;24.440853
Kaskenkaatajat ry;9999639;"Kolot ""Hanski"" ja ""Parta""";Verhonkatu 25-27 C;13130;Hämeenlinna;;60.991481;24.440853
Kaukapartio ry;9999640;Kaukajärven SRK-talo;Keskisenkatu 20;33710;Tampere;;61.472374;23.875161
Kaukapartio ry;9999640;Levonmäen srk-talo;Hikivuorenkatu 63;33710;Tampere;;61.463113;23.90625
Kaukapartio ry;9999640;Kaukajärven SRK-talo;Keskisenkatu 20;33710;Tampere;;61.472374;23.875161
Kaukapartio ry;9999640;Levonmäen srk-talo;Hikivuorenkatu 63;33710;Tampere;;61.463113;23.90625
Keikyän Korvenkävijät ry;9999180;;Pehulankaari 6;32740;Sastamala;;61.286691;22.69693
Kihniön Katajaiset ry;9999641;Linnankylän asema;Harjulantie;39810;Linnankylä;;62.108119;23.159566
Kihniön Katajaiset ry;9999641;Linnankylän asema;Harjulantie;39810;Linnankylä;;62.108119;23.159566
Kiikan Leiripeikot ry;9999181;;Länsitie 3;38300;Sastamala;;61.317437;22.776391
Kipinäpartio ry;9999195;SRK-talo;Kirkkopolku 3;39700;Parkano;;62.014003;23.022272
Kosken Kerkät;9999285;Yhdistystalo;Hämeentie 43;31500;Koski Tl;;60.658631;23.146206
Kostian Kahlaajat ry;9999644;Kolo;Onkkaalantie 81;36600;Pälkäne;;61.338957;24.266198
Kostian Kahlaajat ry;9999644;Kolo;Onkkaalantie 81;36600;Pälkäne;;61.338957;24.266198
Kuhmoisten Korpisudet ry;10000052;Nuorisotalo Kuhnu;Toritie 65;17800;Kuhmoinen;;61.56669;25.182368
Kuhmoisten Korpisudet ry;10000052;Nuorisotalo Kuhnu;Toritie 65;17800;Kuhmoinen;;61.56669;25.182368
Kuikkavuoren Pojat ry;9999135;Kämppä;Maaherrankatu 17;18100;Heinola;;61.201562;26.037739
Kuikkavuoren Pojat ry;9999135;Kämppä;Maaherrankatu 17;18100;Heinola;;61.201562;26.037739
Kuoreveden Kotkat ry;9999648;Kolo, Kuoreveden koulu;Lentokentäntie;;;;61.8605197;24.8227532
